item_details,item_location,item_price,item_title
2023,"Kebayoran Lama, Jakarta Selatan",Rp 500.000.000,BMW CE04 ELECTRIC VEHICLE
2013,"Kebayoran Lama, Jakarta Selatan",Rp 69.000.000,JUAL NINJA ORI SS
2012,"Pancoran, Jakarta Selatan",Rp 7.250.000,"Spacy 2012 (sdh Injection), Jarang Pakai."
2023,"Kebayoran Lama, Jakarta Selatan",Rp 15.250.000,Honda Beat Eco 2023
2019,"Pancoran, Jakarta Selatan",Rp 23.500.000,(angsuran ringan DP murah) YAMAHA NMAX tahun 2019
2018,"Kebayoran Lama, Jakarta Selatan",Rp 15.500.000,(free pajak & kaleng pnjng angsrn 26rb/hari) Lexi 2018 cash credt
2015,"Pasar Minggu, Jakarta Selatan",Rp 9.500.000,Dijual honda beat 2015
2018,"Kebayoran Baru, Jakarta Selatan",Rp 46.950.000,Yamaha xmax tahun 2018
2016,"Kebayoran Baru, Jakarta Selatan",Rp 12.500.000,Vario 125 cc Tahun 2016
2021,"Pesanggrahan, Jakarta Selatan",Rp 1.800.000,Motor trail mini
2009,"Pesanggrahan, Jakarta Selatan",Rp 7.950.000,"Jual beat kalbu tahun 2009, greees"
2008,"Cilandak, Jakarta Selatan",Rp 16.000.000,Motor Honda Tiger Revo tahun 2008
2007,"Pesanggrahan, Jakarta Selatan",Rp 3.000.000,mio smile kondisi bagus
2021,"Mampang Prapatan, Jakarta Selatan",Rp 26.900.000,(DP 500 Rb) NMax Connected Hitam 2021 Dijual Cash / Kredit
2018,"Kebayoran Baru, Jakarta Selatan",Rp 46.800.000,XMAX km low pajak panjang
2021,"Cilandak, Jakarta Selatan",Rp 52.500.000,Xmax tahun 2021
2023,"Mampang Prapatan, Jakarta Selatan",Rp 29.000.000,Nmax tahun 2023 km 2rban keyless connected
2020,"Pesanggrahan, Jakarta Selatan",Rp 18.850.000,Honda Cb 150r 2020 Km 3 Rb An B Dki
<1986,"Cilandak, Jakarta Selatan",Rp 79.000.000,Vespa PTS Spesial 90 Smallframe Restorasi 136cc
2022,"Pancoran, Jakarta Selatan",Rp 122.000.000,Royal enfield 500 euro4 ABS
